!         xpos (m)          ypos (m)          Va (m/s)       alpha (deg)       
          -8581.89           449.3278            87.9988             5.0000
          -8445.27           442.1677            87.6202             5.0000
          -8309.23           435.0381            87.2432             5.0000
          -8173.77           427.9389            86.8678             5.0000
          -8038.89           420.8702            86.4941             5.0000
          -7904.60           413.8324            86.1219             5.0000
          -7770.88           406.8244            85.7514             5.0000
          -7637.73           399.8465            85.3824             5.0000
          -7505.17           392.8991            85.0151             5.0000
          -7373.25           385.9857            84.4101             5.0000
          -7242.33           379.1242            83.7628             5.0000
          -7112.41           372.3156            83.1205             5.0000
          -6983.47           365.5578            82.4830             5.0000
          -6855.54           358.8536            81.8505             5.0000
          -6728.57           352.1993            81.2228             5.0000
          -6602.59           345.5970            80.5999             5.0000
          -6477.56           339.0443            79.9818             5.0000
          -6353.50           332.5427            79.3684             5.0000
          -6230.37           326.0897            78.7597             5.0000
          -6108.21           319.6876            78.1557             5.0000
          -5986.96           313.3330            77.5563             5.0000
          -5866.66           307.0285            76.9615             5.0000
          -5747.27           300.7714            76.3712             5.0000
          -5628.78           294.5619            75.7854             5.0000
          -5511.23           288.4012            75.2043             5.0000
          -5394.56           282.2866            74.6274             5.0000
          -5278.78           276.2187            74.0550             5.0000
          -5163.90           270.1984            73.4870             5.0000
          -5049.89           264.2234            72.9234             5.0000
          -4936.74           258.2936            72.5949             5.0000
          -4823.88           252.3784            72.5949             5.0000
          -4711.01           246.4633            72.5949             5.0000
          -4598.14           240.5482            72.5949             5.0000
          -4485.27           234.6330            72.5949             5.0000
          -4372.41           228.7179            72.5949             5.0000
          -4259.54           222.8028            72.5949             5.0000
          -4146.67           216.8876            72.5949             5.0000
          -4033.80           210.9725            72.5949             5.0000
          -3920.94           205.0574            72.5949             5.0000
          -3808.07           199.1422            72.5949             5.0000
          -3695.20           193.2271            72.5949             5.0000
          -3582.33           187.3120            72.5949             5.0000
          -3469.47           181.3968            72.5949             5.0000
          -3356.60           175.4817            72.5949             5.0000
          -3243.73           169.5666            72.5949             5.0000
          -3130.86           163.6514            72.5949             5.0000
          -3018.00           157.7363            72.5949             5.0000
          -2905.13           151.8211            72.5949             5.0000
          -2792.26           145.9060            72.5949             5.0000
          -2679.39           139.9909            72.5949             5.0000
          -2566.53           134.0757            72.5949             5.0000
          -2453.66           128.1606            72.5949             5.0000
          -2340.79           122.2455            72.5949             5.0000
          -2227.92           116.3303            72.5949             5.0000
          -2115.06           110.4152            72.5949             5.0000
          -2002.19           104.5001            72.5949             5.0000
          -1889.32            98.5850            72.5949             5.0000
          -1776.45            92.6698            72.5949             5.0000
          -1663.59            86.7547            72.5949             5.0000
          -1550.72            80.8396            72.5949             5.0000
          -1437.85            74.9244            72.5949             5.0000
          -1324.98            69.0093            72.5949             5.0000
          -1212.12            63.0942            72.5949             5.0000
          -1099.25            57.1790            72.5949             5.0000
           -986.38            51.2639            72.5949             5.0000
           -873.51            45.3488            72.5949             5.0000
           -760.65            39.4336            72.5949             5.0000
           -647.78            33.5185            72.5949             5.0000
           -534.91            27.6034            72.5949             5.0000
           -422.04            21.6882            72.5949             5.0000
           -309.18            15.7731            72.5949             5.0000
           -196.31             9.8580            72.5949             5.0000
            -83.44             3.9428            72.5949             5.0000
