!          P3 (Pa)           P4 (Pa)           P7 (Pa)            T3 (K)            T4 (K)            T5 (K)         W3 (kg/s)        
  607562.768535216   586112.222967168    85671.089357554      519.351040781      877.440541556      533.265887332        7.552262097
  608095.937027097   586625.472256438    85765.303074448      519.420463795      877.506834658       533.33575884        7.558577234
   608813.16720221     587317.8731249    85860.191155989      519.540934975      877.717452947      533.463688035        7.566527892
  609108.420054265   587601.193473736    85953.818857266      519.547493432      877.667738691      533.507398663        7.570415025
  609676.520341267   588148.500936765     86048.39311334      519.628051489      877.766169425      533.591228094        7.577017466
  610663.553059192    589103.51752915    86144.395382466      519.824725908      878.190616131      533.805418605        7.587349311
  610852.092985176   589283.077540941    86237.929015137      519.804083519      878.065523797      533.820504578        7.590251383
  611211.099794792   589626.924358611    86332.081191295      519.827456675      878.003873369      533.840999527        7.594978509
  612149.247191216   590534.331508036    86428.174765773      520.009966105       878.38783365      534.038710796        7.604880751
  612211.777231108   590591.294207835    86521.554960875      519.954762705      878.167084623      534.016199399        7.606652299
   612677.64737079   591039.121431384    86616.300064436      520.007296434      878.187255027      534.069281046         7.61233592
  613285.566571539   591625.170679119    86711.583865841      520.098726568      878.316262022      534.165621619        7.619289602
  613739.893155633   592063.387936991    86806.471373038      520.150929211      878.396455908      534.262828261        7.624562503
   614789.76849046   593079.490581763    86903.338402027      520.363175529      878.863393529      534.493472184        7.635465841
  614924.504947271   593205.081829062    86997.355957718      520.324630707      878.628961137      534.445401859        7.638193565
  615213.782538854   593482.690670371    87091.965674481      520.331382076      878.582346508      534.492292762          7.6419924
   615806.69090917   594054.115041804    87187.618845624      520.418142451      878.698416972        534.5835263        7.648814752
  616334.902779966    594562.58139876    87283.148581981      520.487095753      878.764762003      534.655024353        7.655059581
  616768.308910957   594980.433920216    87378.471284537      520.533049464      878.827953052      534.745575057         7.66014724
   617350.34246574   595540.652236054    87484.791318617      520.608121888      878.897462323      534.823373374        7.667043635
  618089.437259573   596254.306913316    87581.256393618      520.734284169      879.123603025       534.95830743        7.675174862
  618369.890415111    596523.32494516    87676.351088743      520.738263538      879.069870933      535.002514257        7.678896548
  619215.511708894   597340.626327728    87773.324450089      520.893161508      879.376190786      535.169261025        7.687980762
  619569.022368552   597679.079659361    87868.808367159      520.913920955       879.30826799      535.187544034        7.692667965
  619920.042839852   598016.760380934    87964.381382736      520.936929428       879.30792787      535.252998374        7.697021101
  620539.295388905   598613.784266111     88060.88313811      521.029838636      879.441351565      535.351169706        7.704084167
  620945.982475211   599005.628922364    88156.802687326      521.067834286      879.482993185      535.433311137        7.708935259
  621945.754768255   599972.899725242    88254.688238088      521.263786713      879.903643319       535.64536874        7.719399744
  622206.044822254   600220.633560568    88350.296108364      521.258905406      879.764570897       535.63551773        7.723256799
  622442.107751722   600446.455757087     88445.92435743      521.250382596      879.676883381      535.666464899        7.726583781
  623016.654220828   600999.962176978    88542.704953852      521.330618495      879.775129865      535.750730925        7.733250085
  623528.485073442   601492.442164582    88639.369978205      521.393755584      879.825800424      535.816161526        7.739356468
  624079.388950905   602024.602526666    88736.256735987      521.470313128      879.975261351       535.94110786        7.745498294
  624581.045238013   602507.176524929    88833.058562952      521.530502371      880.017810026      536.003341623         7.75151479
  625122.925052518   603028.883580238    88930.073341697      521.601472842      880.090383751      536.077473496        7.757891479
  625863.644591867   603745.726255635    89027.819170261      521.728961726      880.381654649      536.258591617        7.765730664
  626199.427506941   604066.897880722    89124.346581934      521.744071373      880.298939173      536.271264147         7.77026639
  626812.846377163   604658.199933459    89221.843661709      521.834021025       880.42436392      536.366333186        7.777284223
  627267.098079095   605096.309799329    89318.931144906      521.883868914      880.499902089      536.462093385        7.782563878
  627784.373522267   605594.060567382    89416.291878657      521.947694329      880.552785878      536.528477926        7.788723412
  628224.602593764   606016.844498269    89513.492438173       521.99068862      880.547844753      536.572008131        7.794194881
    628773.5208367   606547.057483787    89611.136643337      522.065759844       880.69367671      536.695614676        7.800321589
  629296.629549519    607050.47395271    89708.771352391      522.130877621      880.750273649       536.76350301        7.806534957
  630426.688360242   608144.421355484    89808.422793181      522.358880535      881.259177454      537.010256991         7.81817343
  630737.189982566   608442.658318523    89905.563507702         522.369566      881.226291315      537.063204393        7.822170397
  630929.538012105   608624.251195573     90002.40180601      522.345609607      881.035752243      537.033412221        7.825429279
  631357.035627523   609034.630111166    90100.073844176      522.384698727      881.020290784      537.072872546        7.830790305
  631809.698365587   609471.183385274     90197.92400036      522.433350527      881.093210753      537.167744662        7.836058257
  632798.661068803   610427.822749808    90297.551462254      522.622624816      881.494293421      537.371777487        7.846439151
   633265.88015442   610876.836760848    90395.606148125      522.672055986      881.507591399      537.422610908        7.852157136
  634001.024079724   611588.218029007    90494.610474325       522.79590425      881.789105139      537.599919183        7.859950612
  635484.976452925   613026.445828158    90596.069263191      523.116498482      882.554630514      537.948143738        7.874752514
  635328.122961255   612868.258754317    90692.395744229      522.999072169      882.105005071      537.815906514        7.874898287
  635155.417673814   612696.369520319    90788.773583708      522.880276882      881.714257324      537.727742112        7.874579204
  635771.297769519   613290.002841497    90887.729308671       522.96896431      881.836546671      537.821673061        7.881628696
  636015.352754983   613523.591981528    90985.603796844      522.961285992      881.754116449      537.855374724        7.885033934
  636546.899301963    614035.17429164    91084.463975447      523.027079029      881.813524563      537.924454202        7.891331961
  637435.142031878   614893.780634801    91184.541271968      523.187513212      882.135111776      538.096888176        7.900820524
